2018-06-01 12:16:29 status half-configured desktop-file-utils:amd64 0.23-1ubuntu3
2018-06-01 12:16:29 status installed desktop-file-utils:amd64 0.23-1ubuntu3
2018-06-01 12:16:29 trigproc man-db:amd64 2.8.3-2 <none>
2018-06-01 12:16:29 status half-configured man-db:amd64 2.8.3-2
2018-06-01 12:16:30 status installed man-db:amd64 2.8.3-2
2018-06-01 12:16:30 trigproc gnome-menus:amd64 3.13.3-11ubuntu1 <none>
2018-06-01 12:16:30 status half-configured gnome-menus:amd64 3.13.3-11ubuntu1
2018-06-01 12:16:30 status installed gnome-menus:amd64 3.13.3-11ubuntu1
2018-06-01 12:16:30 trigproc hicolor-icon-theme:all 0.17-2 <none>
2018-06-01 12:16:30 status half-configured hicolor-icon-theme:all 0.17-2
2018-06-01 12:16:30 status installed hicolor-icon-theme:all 0.17-2
2018-06-01 12:16:44 startup archives unpack
2018-06-01 12:16:44 install gcc-8-base:i386 <none> 8-20180414-1ubuntu2
2018-06-01 12:16:44 status half-installed gcc-8-base:i386 8-20180414-1ubuntu2
2018-06-01 12:16:44 status unpacked gcc-8-base:i386 8-20180414-1ubuntu2
2018-06-01 12:16:44 status unpacked gcc-8-base:i386 8-20180414-1ubuntu2
2018-06-01 12:16:45 install libgcc1:i386 <none> 1:8-20180414-1ubuntu2
2018-06-01 12:16:45 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-06-01 12:16:45 status half-installed libgcc1:i386 1:8-20180414-1ubuntu2
2018-06-01 12:16:45 status unpacked libgcc1:i386 1:8-20180414-1ubuntu2
2018-06-01 12:16:45 status unpacked libgcc1:i386 1:8-20180414-1ubuntu2
2018-06-01 12:16:45 install libc6:i386 <none> 2.27-3ubuntu1
2018-06-01 12:16:45 status half-installed libc6:i386 2.27-3ubuntu1
2018-06-01 12:16:45 status unpacked libc6:i386 2.27-3ubuntu1
2018-06-01 12:16:45 status unpacked libc6:i386 2.27-3ubuntu1
2018-06-01 12:16:45 install libxau6:i386 <none> 1:1.0.8-1
2018-06-01 12:16:45 status half-installed libxau6:i386 1:1.0.8-1
2018-06-01 12:16:45 status unpacked libxau6:i386 1:1.0.8-1
